Subject,Model,LogLik,Eta,Lambda,Beta,BIC
1,SARSA-TD,-648.4101680063978,0.2715222460132027,0.6870291376750108,2.065854105505857,1315.4641603085297
1,Model-based,-653.7692874365463,0.26329977450175507,,2.547069532481058,1319.9677910702733
